Symbol,Price,Date,Volume
CHSCO,28.5,1439766510047,2713
CHSCN,27.5,1439766510075,2252
CHDN,135.81,1439766510154,23011
CHSCP,30.63,1439766510183,1730
CHUY,32.95,1439766510286,149930
CDTX,14.5,1439766510348,18948
CMCT,15.6,1439766510448,927
CMPR,70.48,1439766510475,173078
CIDM,0.7,1439766510550,143667
CINF,56.6513,1439766510576,274162
CIFC,7.35,1439766510617,2606
CPHR,7.5,1439766510641,20308
CRUS,29.35,1439766510706,680690
CTAS,88.49,1439766510803,219344
CSCO,29.05,1439766510832,19482765
CTRN,22.76,1439766510933,32987
CZNC,20.34,1439766511032,40689
CZWI,9.17,1439766511058,535
CZFC,NULL,1439766511114,0
CIZN,19.6,1439766511166,18
CHCO,48.29,1439766511201,23230
CTXS,77.55,1439766511219,816989
CIVB,10.29,1439766511263,845
CIVBP,NULL,1439766511297,0
CDTI,1.61,1439766511349,47350
CLNT,1.97,1439766511487,32118
CLNE,4.94,1439766511517,579431
CLFD,18.18,1439766511586,21757
CLRO,11.9,1439766511648,9018
CLIR,5.3,1439766511689,58399
CBLI,3.57,1439766511780,62396
CSBK,14.03,1439766511833,66895
CLVS,77.07,1439766511863,186536
CMFN,11.225,1439766511907,10095
CME,98.1796,1439766511960,686578
CCNE,17.36,1439766511985,11405
CISG,8.5,1439766512117,30224
CNV,4.92,1439766512141,31030
COBZ,12.82,1439766512183,46622
CWAY,11.5,1439766512204,1402
CDRB,13.06,1439766512350,16884
COKE,162.85,1439766512372,21305
CDXS,3.69,1439766512440,542941
CCOI,29.16,1439766512538,323506
CGNT,1.57,1439766512567,31943
CVLY,20.68,1439766512592,1001
JVA,4.77,1439766512614,2178
CGNX,36.99,1439766512666,235019
COHR,58.79,1439766512799,46930
CTSH,67.17,1439766512816,1997748
CHRS,34.14,1439766512903,150579
COHU,9.52,1439766512948,54839
CLRX,0.48,1439766512978,30833
CLCT,19.76,1439766513001,12796
COLL,16.76,1439766513077,26390
CIGI,47.34,1439766513149,12840
CBAN,9.18,1439766513228,696
COLB,33.06,1439766513302,244214
CLCD,8.07,1439766513325,25111
COLM,65.52,1439766513370,73336
CBMX,1.32,1439766513504,9080
CMCO,22.05,1439766513546,41805
CMCSK,59.4284,1439766513650,2116219
CBSHP,25.44,1439766513674,12520
CBSH,47.5595,1439766513702,94480
CMCSA,58.99,1439766513726,9046286
CUBN,13.84,1439766513744,8599
CVGI,4.96,1439766513830,77971
COMM,31.6,1439766513881,387513
JCS,9.8,1439766514011,3640
CSAL,23.0646,1439766514036,482140
ESXB,5.12,1439766514059,20106
CYHHZ,0.012,1439766514166,396294
CTBI,35.13,1439766514276,36097
COB,10.9,1439766514300,31489
CIZ,35.22,1439766514382,3483
CWBC,6.76,1439766514425,2326
CIL,NULL,1439766514447,0
CVLT,37.51,1439766514481,155345
CSA,NULL,1439766514511,0
CID,NULL,1439766514538,0
CDC,36.72,1439766514618,9346
CSF,38.404,1439766514645,3987
CFO,37.55,1439766514793,14685
CFA,37.4308,1439766514842,625
CDL,35.5,1439766514968,1200
CSB,NULL,1439766515000,0
CGEN,5.78,1439766515029,67614
SCOR,63.99,1439766515047,147311
CTG,6.54,1439766515098,14602
CPSI,46.19,1439766515124,59316
CMTL,28.25,1439766515176,21410
CHCI,0.5499,1439766515201,6412
CNAT,4.02,1439766515334,94837
CNSI,19.31,1439766515374,38416
CXRX,76.81,1439766515461,3328
CNCE,16.51,1439766515492,261188
CDOR,1.47,1439766515757,4104
CCUR,5.16,1439766515780,11624
CDORP,7.48,1439766515851,4900
CDORO,19.55,1439766515921,955
CNFR,10.5,1439766515949,73332
CNMD,56.07,1439766515976,75211
CTWS,35.15,1439766516048,16970
CFMS,22.03,1439766516080,107758
CNXR,7.1,1439766516104,15900
CNOB,20.29,1439766516185,21914
CNSL,20.6,1439766516211,103551
CONN,35.36,1439766516292,224161
