BNFT,$38.23,1439683829591,290873
BGCP,$9.59,1439683829687,448030
BIND,$4.43,1439683829762,24590
BGFV,$11.09,1439683829798,44403
BGMD,$0.8211,1439683829863,323491
BASI,$1.79,1439683829883,3070
ORPN,$5.45,1439683829948,13788
BIOC,$1.85,1439683830098,194442
BCRX,$11.68,1439683830179,517381
BIOD,$0.7316,1439683830256,685384
BDSI,$6.6,1439683830276,832542
BLFS,$2.16,1439683830394,266859
BIOL,$1.62,1439683830413,13674
BIIB,$311,1439683830462,1139650
BMRN,$134.51,1439683830519,440002
BVXV,$4.25,1439683830576,2802
BLRX,$1.51,1439683830624,57510
BPTH,$1.18,1439683830783,50108
BRLI,$35.45,1439683830802,176022
BIOS,$1.35,1439683830911,2048445
BBP,$33.75,1439683830952,25634
BBC,$32.17,1439683831006,13726
BSTC,$51.19,1439683831139,57413
BSPM,$0.68,1439683831160,51823
TECH,$105.65,1439683831180,57393
BOTA,$2.33,1439683831236,16624
BEAT,$11.62,1439683831299,77838
BJRI,$46.18,1439683831371,155592
BITI,$19.31,1439683831479,49440
BDMS,$13.2,1439683831573,6
BBOX,$15.86,1439683831729,63754
BDE,$7.43,1439683831751,150675
BKCC,$9.51,1439683831951,235395
ADRD,$23.44,1439683831978,402
HAWK,$43.5,1439683832021,241541
BBRY,$7.6,1439683832044,1853462
BLKB,$62.98,1439683832059,108814
ADRE,$31.45,1439683832092,17219
ADRA,$28.75,1439683832133,3946
BLBD,$12.93,1439683832172,3084
BCOR,$13.83,1439683832419,105205
BUFF,$26.87,1439683832439,821531
BLMN,$21.66,1439683832456,654740
ADRU,$23.2666,1439683832475,934
BBLU,$0.9223,1439683832583,105042
BHBK,$14.5,1439683832810,28477
BKEP,$6.78,1439683832863,25111
BPMC,$26.55,1439683832894,75584
NILE,$34.68,1439683832912,70839
BKEPP,$7.89,1439683832937,27
BLUE,$127.26,1439683832974,483144
BNCN,$21.89,1439683833004,88290
BOBE,$46.61,1439683833172,55212
BOFI,$128.5,1439683833186,140173
