CAPN,$3.05,1439681732671,[u'898,859']
CSWC,$49.86,1439681732699,[u'9,545']
CAPNW,$0.7799,1439681732744,[u'215']
CPST,$0.4018,1439681732772,[u'717,302']
CARA,$21.91,1439681732788,[u'133,308']
CARB,$11.66,1439681733050,[u'42,578']
CBYL,$6.28,1439681733085,[u'38,646']
CRME,$9.77,1439681733113,[u'64,964']
CRDC,$0.4,1439681733144,[u'29,190']
CFNL,$23.528,1439681733176,[u'59,766']
CSII,$24.2,1439681733265,[u'177,670']
CDNA,$6.31,1439681733343,[u'15,675']
CATM,$35.33,1439681733361,[u'104,211']
CKEC,$23.95,1439681733488,[u'83,395']
CECO,$3.99,1439681733533,[u'301,907']
CLBH,$12.8,1439681733589,[u'1,040']
CARO,$16.09,1439681733624,[u'8,504']
CTRE,$11.2122,1439681733692,[u'361,640']
CART,$5.46,1439681733767,[u'1,338']
TAST,$12.93,1439681733851,[u'101,527']
CRZO,$35.06,1439681733863,[u'527,432']
CRTN,$2.89,1439681733966,[u'19,546']
CARV,$5.86,1439681734097,[u'212']
CSCD,$14,1439681734131,[u'19,817']
CASM,$1.12,1439681734215,[u'32,906']
CWST,$6.27,1439681734244,[u'153,542']
CACB,$5.55,1439681734270,[u'62,322']
CASI,$1.53,1439681734346,[u'8,742']
CASY,$106.61,1439681734422,[u'186,358']
CASS,$51.35,1439681734582,[u'10,885']
CATB,$11.99,1439681734630,[u'18,867']
CATYW,NULL,1439681734669,[]
CPRX,$4.11,1439681734717,[u'242,775']
CATY,$32.18,1439681734764,[u'169,694']
CVCO,$73.4488,1439681734871,[u'24,994']
CAVM,$71.64,1439681734956,[u'319,178']
CBFV,$20.05,1439681735080,[u'5,187']
CNLM,NULL,1439681735091,[]
CNLMR,NULL,1439681735122,[]
CNLMU,NULL,1439681735133,[]
CBOE,$64.4229,1439681735251,[u'209,983']
CNLMW,NULL,1439681735297,[]
CDK,$50.99,1439681735469,[u'409,820']
CDW,$39.18,1439681735498,[u'1,048,758']
CECE,$10.1,1439681735509,[u'98,965']
CPXX,$2.25,1439681735616,[u'67,115']
CELG,$129.24,1439681735715,[u'2,096,121']
CLDX,$16.34,1439681735789,[u'2,315,311']
CELGZ,$1.98,1439681735800,[u'24,800']
CLDN,$1.05,1439681735849,[u'110,063']
CLRBW,$0.85,1439681735860,[u'4,282']
CLRB,$3.12,1439681736017,[u'2,069']
CLLS,$32.67,1439681736039,[u'64,503']
CBMG,$23.77,1439681736070,[u'16,338']
CLSN,$2.19,1439681736102,[u'34,865']
CYAD,$55,1439681736269,[u'802']
CEMP,$37.26,1439681736289,[u'275,470']
CLTX,$0.58,1439681736313,[u'27,378']
CETX,$2.7,1439681736498,[u'126,599']
CETV,$2.29,1439681736518,[u'73,683']
CSFL,$14.17,1439681736538,[u'70,836']
CFBK,$1.32,1439681736618,[u'7,802']
CENX,$6.07,1439681736700,[u'1,106,936']
CENT,$11.21,1439681736757,[u'16,568']
CENTA,$11.95,1439681736778,[u'56,021']
CNBKA,$41.61,1439681736794,[u'2,429']
CVCY,$11.13,1439681736869,[u'200']
CRNT,$1.4,1439681736977,[u'268,791']
CNTY,$6.35,1439681737029,[u'7,045']
CPHD,$49.05,1439681737064,[u'966,386']
CERU,$3.5,1439681737227,[u'42,059']
CERE,$1.75,1439681737238,[u'272,756']
CERN,$64.253,1439681737272,[u'2,095,458']
CERS,$4.76,1439681737419,[u'382,454']
CYOU,$20.2964,1439681737439,[u'76,909']
CEVA,$19.26,1439681737509,[u'81,703']
HOTR,$1.62,1439681737571,[u'194,026']
KOOL,$0.675,1439681737582,[u'13,513']
HOTRW,NULL,1439681737602,[]
CTHR,$1.23,1439681737720,[u'32,192']
GTLS,$24.72,1439681737853,[u'308,120']
CHTR,$180,1439681737864,[u'514,138']
CHFN,$12.62,1439681737936,[u'35,586']
CHEK,$3.33,1439681737960,[u'2,931']
CHEKW,NULL,1439681738136,[]
CEMI,$4.74,1439681738159,[u'3,616']
CHKP,$80.8,1439681738179,[u'533,556']
CCXI,$6.53,1439681738222,[u'75,187']
CHFC,$32.92,1439681738303,[u'29,124']
CHMG,$26.65,1439681738314,[u'17']
CHKE,$27.96,1439681738372,[u'14,705']
CHEV,$14.8,1439681738407,[u'883']
CHMA,$28.7,1439681738479,[u'281,053']
CBNK,$16.82,1439681738555,[u'138']
PLCE,$59.59,1439681738584,[u'156,707']
CMRX,$49.98,1439681738690,[u'186,569']
CADC,NULL,1439681738799,[]
CALI,$1.02,1439681738898,[u'5,147']
CBAK,$2.48,1439681738916,[u'5,531']
CCCR,NULL,1439681738941,[]
CCCL,$0.93,1439681738969,[u'2,179']
CBPO,$109.63,1439681739145,[u'137,138']
CAAS,$6.73,1439681739166,[u'32,872']
JRJC,$4.44,1439681739187,[u'15,373']
CHOP,$1.3,1439681739250,[u'1,815']
HGSH,$1.93,1439681739311,[u'8,547']
CHLN,$1.39,1439681739362,[u'6,811']
CNIT,$1.82,1439681739533,[u'81,629']
CJJD,$2.25,1439681739586,[u'29,683']
CHNR,$2.0101,1439681739628,[u'110']
