TFSC,NULL,1439682002766,[]
MELI,$119.75,1439682110118,[u'94,195']
MTSL,$1.48,1439682110167,[u'11,319']
MBVT,$29.08,1439682110300,[u'5,524']
MBWM,$20.59,1439682110311,[u'11,681']
MERC,$11.3669,1439682110334,[u'276,228']
MRGE,$7.11,1439682110416,[u'1,183,112']
MRCY,$16.02,1439682110463,[u'74,120']
EBSB,$12.75,1439682110481,[u'85,870']
MMSI,$24.69,1439682110637,[u'176,407']
VIVO,$18.18,1439682110657,[u'93,094']
MACK,$10.56,1439682110707,[u'771,613']
MSLI,$1.88,1439682110723,[u'10,668']
MLAB,$115.71,1439682110767,[u'2,260']
CASH,$48.45,1439682110907,[u'27,643']
MEOH,$44.58,1439682111038,[u'300,662']
MEIL,$0.34,1439682111062,[u'7,971']
MEILW,NULL,1439682111114,[]
MFRI,$5.52,1439682111163,[u'3,954']
METR,$29.99,1439682111182,[u'75,962']
MBLX,$2.64,1439682111217,[u'7,722']
MEILZ,NULL,1439682111242,[]
MGEE,$40.14,1439682111367,[u'35,904']
MGCD,$5.28,1439682111414,[u'17']
MGPI,$15.96,1439682111461,[u'49,048']
MU,$16.99,1439682111480,[u'21,428,328']
MCHP,$43.29,1439682111516,[u'1,253,718']
MICT,$2.96,1439682111580,[u'20']
MICTW,NULL,1439682111602,[]
MSCC,$33.38,1439682111754,[u'254,742']
MSTR,$218.8,1439682111846,[u'35,786']
MVIS,$3.06,1439682111870,[u'91,614']
MSFT,$47.097,1439682111890,[u'17,606,884']
MPB,$16.45,1439682111931,[u'176']
MCEP,$2.99,1439682112023,[u'94,434']
MBRG,$18.34,1439682112091,[u'444']
MSEX,$23.24,1439682112111,[u'14,962']
MBCN,$32,1439682112138,[u'464']
MOFG,$31.47,1439682112280,[u'4,926']
MNDO,$2.71,1439682112310,[u'15,234']
MDXG,$9.34,1439682112321,[u'536,378']
MB,$12.33,1439682112332,[u'74,686']
NERV,$5.63,1439682112404,[u'10,366']
MRTX,$22.5,1439682112561,[u'44,163']
MSON,$9.39,1439682112676,[u'9,611']
MIND,$4.4,1439682112719,[u'10,282']
MITK,$3.63,1439682112749,[u'86,363']
MMAC,$13.55,1439682112799,[u'4,875']
MITL,$7.96,1439682112825,[u'385,339']
MOCO,$13.81,1439682112953,[u'2,568']
MKSI,$35.44,1439682112964,[u'149,825']
MINI,$34.79,1439682113051,[u'173,048']
MDSY,$1.55,1439682113085,[u'3,010']
MOBL,$4.69,1439682113129,[u'149,762']
MOKO,$3.65,1439682113146,[u'2,566']
MLNK,$3.16,1439682113167,[u'78,706']
MOLG,$1.14,1439682113227,[u'32,416']
MNTA,$21.67,1439682113313,[u'356,275']
MOMO,$16.0127,1439682113403,[u'139,551']
MCRI,$18.56,1439682113505,[u'24,244']
MDLZ,$46.49,1439682113592,[u'5,841,138']
MNRK,$13.18,1439682113603,[u'1,563']
MPWR,$50.89,1439682113700,[u'95,397']
MNRO,$66.33,1439682113734,[u'51,633']
MGI,$10.14,1439682113757,[u'78,229']
TYPE,$23.37,1439682113776,[u'92,662']
MHGC,$5,1439682113856,[u'109,909']
MRCC,$14.96,1439682113876,[u'84,357']
MNST,$150.41,1439682113973,[u'771,064']
MPAA,$31.62,1439682114086,[u'59,232']
MOSY,$1.49,1439682114098,[u'22,943']
MORN,$84.3369,1439682114118,[u'21,319']
MDM,$3.24,1439682114175,[u'10,397']
MRVC,$16.94,1439682114251,[u'93,134']
MTSC,$64.82,1439682114459,[u'46,411']
MSBF,$11.66,1439682114538,[u'24,021']
MFLX,$18.09,1439682114561,[u'69,890']
MYL,$54.4,1439682114580,[u'4,337,802']
LABL,$68.81,1439682114629,[u'25,528']
MFSF,$23.96,1439682114651,[u'678']
MYOS,$3.04,1439682114671,[u'922']
MYRG,$29.54,1439682114736,[u'59,287']
NANO,$14.35,1439682114840,[u'51,664']
MYGN,$33.863,1439682114913,[u'295,492']
NK,$22.58,1439682115014,[u'314,561']
NSTG,$14.88,1439682115070,[u'37,087']
NSSC,$5.95,1439682115114,[u'5,737']
NATH,$36.3,1439682115267,[u'16,268']
NSPH,$2.31,1439682115294,[u'49,296']
NTRA,$15.76,1439682115305,[u'570,618']
NAUH,$2.83,1439682115331,[u'2,442']
NKSH,$31.97,1439682115362,[u'5,985']
FIZZ,$25,1439682115382,[u'27,654']
NCMI,$14.7,1439682115487,[u'115,846']
NCOM,$24.94,1439682115523,[u'4,096']
NGHCO,$24.98,1439682115672,[u'38,093']
NGHC,$19.76,1439682115702,[u'803,537']
NGHCP,$24.9,1439682115729,[u'7,026']
NHLD,$3.47,1439682115765,[u'22,934']
NATI,$29.41,1439682115859,[u'240,809']
NATL,$27.98,1439682115993,[u'5,169']
NPBC,$10.95,1439682116037,[u'268,927']
NRCIB,$33.55,1439682116060,[u'103']
NRCIA,$13.26,1439682116083,[u'4,734']
NWLI,$236.5,1439682116120,[u'2,194']
NSEC,$13.24,1439682116151,[u'6,283']
NAII,$5.94,1439682116181,[u'286']
NHTC,$30.23,1439682116331,[u'87,216']
NATR,$12.94,1439682116402,[u'7,351']
BABY,$44.83,1439682116433,[u'74,251']
NVSL,$10.75,1439682116500,[u'358']
NAVI,$14.763,1439682116571,[u'2,473,868']
NBTB,$26.75,1439682116633,[u'50,294']
NCIT,$12.89,1439682116701,[u'10,873']
NKTR,$11.21,1439682116801,[u'596,105']
NEON,$2.59,1439682116821,[u'48,216']
NEO,$6.34,1439682116843,[u'137,032']
NEOG,$55,1439682116877,[u'94,110']
NEOS,$20.63,1439682116894,[u'39,568']
NVCN,$4.79,1439682116941,[u'8,924']
NEOT,$12.37,1439682116998,[u'40,083']
NRX,$4.04,1439682117187,[u'12,290']
NEPT,$1.41,1439682117224,[u'30,893']
UEPS,$20.4851,1439682117290,[u'165,985']
NETE,$0.2113,1439682117362,[u'1,364,843']
NFLX,$123.16,1439682117483,[u'5,145,488']
NTGR,$32.65,1439682117522,[u'671,595']
NTES,$126.6,1439682117538,[u'579,096']
NTAP,$30.75,1439682117568,[u'1,411,573']
NTCT,$41.16,1439682117688,[u'433,607']
NTWK,$5.32,1439682117803,[u'12,644']
NLST,$0.42,1439682117823,[u'111,794']
NDRM,$22.23,1439682117855,[u'148,097']
NBIX,$46.05,1439682117866,[u'428,805']
CUR,$1.32,1439682117887,[u'206,446']
NURO,$0.96,1439682117959,[u'59,744']
NUROW,NULL,1439682118133,[]
NYMTP,$22.22,1439682118274,[u'1,799']
NYMT,$6.63,1439682118313,[u'534,016']
NYMTO,$20.905,1439682118338,[u'6,940']
NLNK,$46.35,1439682118358,[u'274,243']
NBBC,$8.28,1439682118401,[u'24,299']
NEWP,$15.98,1439682118436,[u'62,526']
NWSA,$15.2155,1439682118455,[u'2,564,698']
NWS,$14.915,1439682118546,[u'792,845']
NEWS,$11.7,1439682118632,[u'17,777']
NEWT,$18.31,1439682118668,[u'36,739']
NXST,$52.87,1439682118767,[u'272,036']
NVET,$4.65,1439682118788,[u'5,602']
NFEC,$1.16,1439682118835,[u'4,411']
EGOV,$20,1439682118854,[u'116,276']
NICE,$66.8039,1439682118947,[u'40,079']
NIHD,$9.12,1439682119089,[u'24,048']
NVLS,$17.24,1439682119115,[u'172,350']
NMIH,$8.85,1439682119142,[u'73,783']
NICK,$13.1,1439682119153,[u'3,507']
NNBR,$24.35,1439682119233,[u'103,194']
NDSN,$74.11,1439682119261,[u'153,591']
NDLS,$12.76,1439682119289,[u'178,667']
NSYS,$4.33,1439682119308,[u'6']
NTK,$74.63,1439682119448,[u'27,193']
NBN,$10.79,1439682119522,[u'6,858']
NECB,$7.9,1439682119533,[u'11,820']
NTRSP,$25.76,1439682119650,[u'8,592']
NTRS,$77.7155,1439682119690,[u'563,135']
NTIC,$15.96,1439682119771,[u'834']
NFBK,$15.29,1439682119798,[u'140,164']
NWBO,$9.57,1439682119855,[u'359,340']
NWPX,$17.48,1439682119936,[u'18,258']
NRIM,$26.78,1439682119956,[u'12,887']
NWBI,$12.838,1439682119986,[u'2,050,742']
NWBOW,$5.84,1439682120028,[u'230']
NWFL,$29.4,1439682120116,[u'16']
NCLH,$59.4,1439682120134,[u'391,085']
NVFY,$2.53,1439682120178,[u'49,232']
NVMI,$12.15,1439682120254,[u'7,346']
NVDQ,$11.64,1439682120402,[u'209,294']
NVGN,$3.11,1439682120552,[u'187,261']
MIFI,$2.55,1439682120574,[u'192,180']
NTLS,$9.23,1439682120600,[u'587,474']
NVAX,$13.34,1439682120611,[u'3,037,570']
NUAN,$18.375,1439682120638,[u'542,697']
NMRX,$8.51,1439682120657,[u'4,465']
NUTR,$24.09,1439682120708,[u'13,181']
QQQX,$19.01,1439682120921,[u'48,586']
NTRI,$29.71,1439682120986,[u'90,620']
NVEE,$24.63,1439682121006,[u'36,115']
NUVA,$53.07,1439682121030,[u'165,730']
NVEC,$56.24,1439682121050,[u'4,562']
NVDA,$23.58,1439682121156,[u'3,026,317']
NXPI,$91.7,1439682121194,[u'1,574,013']
NXTD,$1.48,1439682121421,[u'48,073']
NXTM,$18.27,1439682121442,[u'204,806']
OIIM,$2.37,1439682121493,[u'16,522']
OVLY,$9.75,1439682121528,[u'56']
NXTDW,$0.6,1439682121570,[u'501']
NYMX,$2.54,1439682121588,[u'322,384']
OCAT,$3.1,1439682121623,[u'291,983']
OPTT,$0.52,1439682121771,[u'10,360']
OBCI,$2.8,1439682121794,[u'64,545']
ORIG,$3.37,1439682121895,[u'393,368']
OCLR,$2.8,1439682122004,[u'866,493']
OCRX,$3.92,1439682122031,[u'19,201']
OSHC,$15.11,1439682122042,[u'4,525']
OCFC,$18.94,1439682122120,[u'33,182']
OFED,NULL,1439682122399,[]
OCUL,$18.82,1439682122479,[u'359,491']
OCLS,$1.2,1439682122531,[u'299,748']
OFS,$11.25,1439682122768,[u'20,002']
OCLSW,$0.32,1439682122779,[u'28,040']
OHAI,$4.99,1439682122886,[u'18,300']
OMEX,$0.362,1439682122898,[u'69,451']
ODP,$7.76,1439682122922,[u'2,355,893']
ODFL,$73.14,1439682122975,[u'123,728']
OHRP,$2.84,1439682122987,[u'299,965']
OVBC,$23.2,1439682123028,[u'574']
OLBK,$15.75,1439682123119,[u'8,647']
ONB,$14.76,1439682123179,[u'410,470']
OPOF,$15.78,1439682123269,[u'449']
OSBC,$6.22,1439682123289,[u'20,646']
OSBCP,$9.95,1439682123384,[u'3,112']
OLLI,$19.91,1439682123479,[u'77,551']
ZEUS,$12.91,1439682123543,[u'40,454']
OMCL,$36.28,1439682123625,[u'82,193']
OMER,$13.5,1439682123659,[u'914,477']
OFLX,$32.83,1439682123685,[u'2,091']
OVTI,$24.95,1439682123696,[u'273,769']
OTIV,$1.02,1439682123778,[u'95,750']
OGXI,$2.97,1439682123859,[u'631,326']
ON,$9.76,1439682123885,[u'1,810,505']
ONCY,$0.54,1439682123912,[u'59,396']
OMED,$21.11,1439682123973,[u'65,447']
ONTX,$2.4415,1439682124076,[u'8,789,272']
ONCS,$5.96,1439682124220,[u'35,662']
OHGI,$1.47,1439682124285,[u'556,547']
ONTY,$3.15,1439682124317,[u'578,374']
ONVI,$4.17,1439682124399,[u'1,048']
ONFC,$20.48,1439682124428,[u'1,825']
OTEX,$45.87,1439682124453,[u'71,723']
OPXA,$0.39,1439682124494,[u'191,485']
OPXAW,$0.09,1439682124607,[u'300']
OPGNW,$0.5,1439682124694,[u'2,000']
OPHT,$51.02,1439682124716,[u'217,949']
OPGN,$2.49,1439682124772,[u'2,614']
OBAS,NULL,1439682124826,[]
OCC,$3.58,1439682124874,[u'38']
OPHC,NULL,1439682124901,[]
OPB,$37.85,1439682124946,[u'43,261']
ORMP,$6.25,1439682125133,[u'22,354']
OSUR,$5.45,1439682125235,[u'242,718']
ORBC,$5.84,1439682125260,[u'103,675']
ORLY,$254.37,1439682125281,[u'288,351']
ORBK,$18.23,1439682125300,[u'52,341']
OREX,$3.5,1439682125317,[u'1,118,504']
SEED,$1.3,1439682125401,[u'111,529']
OESX,$2.06,1439682125476,[u'16,777']
ORIT,$15.59,1439682125581,[u'80,117']
OFIX,$38.95,1439682125653,[u'45,583']
ORRF,$17.48,1439682125665,[u'2,976']
OSIR,$17.26,1439682125703,[u'209,094']
OSIS,$70.26,1439682125722,[u'62,629']
OSN,$0.8101,1439682125779,[u'7,600']
OTEL,$5.3,1439682125968,[u'3,091']
OTIC,$22.64,1439682125988,[u'111,912']
OVAS,$23,1439682126097,[u'464,066']
OTTR,$27.82,1439682126129,[u'73,603']
OUTR,$64.6,1439682126235,[u'133,722']
OXBRW,NULL,1439682126261,[]
OSTK,$21.3,1439682126281,[u'42,854']
OXBR,$6.4,1439682126309,[u'2,570']
OXLCN,$25.41,1439682126518,[u'4,470']
OXGN,$1.39,1439682126541,[u'164,685']
OXLC,$13.85,1439682126699,[u'34,139']
OXFD,$13.41,1439682126710,[u'27,250']
PFIN,$9.95,1439682126739,[u'9,357']
OXLCO,$24.08,1439682126750,[u'10,567']
PTSI,$46.41,1439682126773,[u'5,391']
PCAR,$62.92,1439682126829,[u'756,981']
PACB,$4.52,1439682127084,[u'237,591']
PCBK,$13.32,1439682127122,[u'13,805']
PEIX,$7.74,1439682127293,[u'344,179']
PPBI,$20.09,1439682127326,[u'42,236']
PMBC,$7.24,1439682127348,[u'408']
PDVW,$34.13,1439682127368,[u'161,002']
PCRX,$60.94,1439682127403,[u'225,251']
PSUN,$0.4573,1439682127414,[u'539,196']
PACW,$46.5593,1439682127504,[u'195,063']
PTIE,$1.78,1439682127562,[u'31,834']
PLMT,$19.818,1439682127675,[u'5,611']
PAAS,$6.92,1439682127724,[u'1,238,731']
PZZA,$72.48,1439682127777,[u'83,746']
PANL,$3.31,1439682127788,[u'8,222']
PNRA,$195.6,1439682127811,[u'234,603']
FRSH,$14.93,1439682128052,[u'217,106']
PRGN,$0.8485,1439682128114,[u'6,660']
PRGNL,$11.66,1439682128155,[u'500']
PCYG,$12.42,1439682128225,[u'27,297']
PRTK,$24.48,1439682128260,[u'30,855']
PRXL,$68.08,1439682128290,[u'312,001']
PSTB,$7.05,1439682128341,[u'25,119']
PKBK,$12.68,1439682128369,[u'2,078']
PRKR,$0.27,1439682128431,[u'332,486']
PBHC,$11.49,1439682128607,[u'473']
PARN,$4.62,1439682128646,[u'3,000']
PKOH,$42.36,1439682128661,[u'21,513']
PTNR,$4.43,1439682128730,[u'11,638']
PNBK,$17.95,1439682128754,[u'2']
PATK,$39.24,1439682128824,[u'49,595']
PATI,$22.04,1439682128844,[u'218']
PTEN,$16.73,1439682128983,[u'2,529,835']
PDCO,$49.79,1439682129004,[u'231,806']
PEGI,$22.83,1439682129021,[u'495,747']
PAYX,$48.17,1439682129061,[u'994,047']
PYDS,$4.75,1439682129106,[u'15,613']
PYPL,$38.12,1439682129142,[u'4,262,303']
PCTY,$34.77,1439682129162,[u'335,193']
PCCC,$21.61,1439682129351,[u'11,770']
PDCE,$55.79,1439682129466,[u'492,454']
PCTI,$6.08,1439682129493,[u'33,796']
PCMI,$10.22,1439682129521,[u'3,482']
PDFS,$13.44,1439682129577,[u'53,197']
PDII,$2,1439682129594,[u'208,389']
PDLI,$5.88,1439682129640,[u'1,262,616']
SKIS,$7.13,1439682129687,[u'10,792']
PEGA,$26.8,1439682129860,[u'148,462']
PGC,$21.28,1439682129881,[u'20,940']
PCO,$1.49,1439682129940,[u'148,878']
PFLT,$12.89,1439682129976,[u'68,867']
PENN,$18.61,1439682130009,[u'396,977']
PWOD,$42.54,1439682130025,[u'2,061']
PNNT,$7.8134,1439682130048,[u'182,489']
PTXP,$18.74,1439682130203,[u'116,608']
PEBO,$21.79,1439682130272,[u'34,120']
PFBX,$9.75,1439682130327,[u'2,716']
PEBK,$19.49,1439682130362,[u'1,883']
PFIS,$37.55,1439682130373,[u'4,461']
PBCT,$16.4733,1439682130392,[u'1,526,438']
PUB,$17.58,1439682130475,[u'6,194']
PRCP,$10.24,1439682130498,[u'7,780']
PPHMP,NULL,1439682130669,[]
PRFT,$16.49,1439682130717,[u'77,970']
PERF,$5.59,1439682130738,[u'140']
PFMT,$2.82,1439682130749,[u'20,973']
PPHM,$1.16,1439682130775,[u'323,135']
PERI,$2.51,1439682130867,[u'48,698']
PSEM,$12.62,1439682130886,[u'55,601']
PESI,$3.73,1439682131037,[u'7,788']
PTX,$4.7,1439682131059,[u'1,593,285']
PERY,$23.46,1439682131116,[u'26,703']
PRSN,$0.549,1439682131137,[u'45,981']
PRSNW,$0.14,1439682131164,[u'4,000']
PGLC,$5.48,1439682131236,[u'16,132']
PETS,$16.85,1439682131305,[u'126,066']
PFSW,$13.18,1439682131360,[u'75,230']
PHII,NULL,1439682131392,[]
PGTI,$13.1616,1439682131541,[u'178,074']
PHIIK,$27.37,1439682131579,[u'14,200']
PHMD,$1.06,1439682131626,[u'29,460']
PLAB,$7.89,1439682131698,[u'169,254']
PICO,$12.8,1439682131794,[u'60,527']
PIRS,$3.49,1439682131811,[u'240,564']
PAHC,$37.19,1439682131830,[u'49,078']
PPC,$22.82,1439682131953,[u'741,433']
PME,$1.25,1439682132054,[u'2,614']
PXLW,$4.83,1439682132076,[u'187,821']
PNFP,$52.19,1439682132113,[u'132,858']
PPSI,$6.5,1439682132138,[u'2,300']
PLNR,$5.9537,1439682132199,[u'562,812']
PLPM,$2.87,1439682132278,[u'154,019']
PLUG,$2.29,1439682132473,[u'1,066,073']
PLXS,$38.33,1439682132484,[u'102,323']
PSTI,$2.19,1439682132514,[u'32,270']
PLBC,$9.305,1439682132551,[u'1,036']
PMCS,$6.47,1439682132677,[u'627,481']
PBSK,$15.77,1439682132699,[u'10,323']
PMFG,$6.61,1439682132721,[u'42,454']
PNTR,$6.1,1439682132818,[u'7,285']
PBCP,$12.35,1439682132842,[u'132']
PCOM,$9.82,1439682132862,[u'10,630']
POOL,$71.5214,1439682133050,[u'116,580']
PLCM,$11.24,1439682133061,[u'507,034']
PLKI,$56.92,1439682133089,[u'76,048']
POPE,$66.28,1439682133113,[u'490']
BPOP,$31.1062,1439682133228,[u'262,331']
BPOPM,NULL,1439682133260,[]
BPOPN,$20.2622,1439682133379,[u'3,287']
PBPB,$12.26,1439682133628,[u'142,273']
PCH,$35.87,1439682133639,[u'78,558']
PBIB,$1.63,1439682133661,[u'33,805']
PSTR,$1.7,1439682133678,[u'25,663']
PTLA,$47.97,1439682133698,[u'284,951']
POWI,$39.21,1439682133853,[u'76,225']
PSIX,$32.04,1439682133874,[u'48,989']
POWL,$27.61,1439682133906,[u'33,776']
PDBC,$17.82,1439682134015,[u'593']
PRFZ,$100.33,1439682134067,[u'16,113']
PAGG,$27.85,1439682134094,[u'4,761']
IPKW,$27.25,1439682134123,[u'5,530']
PSAU,$12.56,1439682134181,[u'12,585']
LALT,$22.87,1439682134328,[u'1,266']
QQQ,$110.66,1439682134458,[u'7,558,703']
PNQI,$75.56,1439682134480,[u'7,473']
LDRI,$25.1,1439682134515,[u'5,848']
PSCC,$55.04,1439682134527,[u'732']
PSCD,$52.5,1439682134537,[u'3,061']
PSCE,$20,1439682134565,[u'1,860']
PSCF,$42.38,1439682134638,[u'1,253']
PSCH,$73.4,1439682134788,[u'9,399']
PSCT,$50.56,1439682134862,[u'4,753']
PSCI,NULL,1439682134896,[]
PSCM,$36.0801,1439682134939,[u'500']
PSCU,$38.1975,1439682134976,[u'1,900']
PRAA,$57.71,1439682135100,[u'244,757']
PRAH,$41.12,1439682135198,[u'36,708']
POZN,$9.05,1439682135235,[u'359,924']
PRAN,$1.12,1439682135273,[u'48,684']
PFBC,$31.57,1439682135293,[u'14,434']
PLPC,$33.98,1439682135309,[u'17,118']
PRXI,$2.49,1439682135339,[u'11,329']
PFBI,$14.94,1439682135399,[u'1,118']
LENS,$6.78,1439682135596,[u'588']
PINC,$36.6342,1439682135647,[u'63,282']
PRGX,$4,1439682135658,[u'84,576']
PSMT,$94.83,1439682135756,[u'65,750']
PBMD,$1.47,1439682135888,[u'13,182,151']
PRIM,$18,1439682135938,[u'108,446']
PVTB,$41.13,1439682136000,[u'209,414']
PNRG,$56.7,1439682136032,[u'4']
PDEX,$2.32,1439682136043,[u'2,033']
PRMW,$6.51,1439682136067,[u'104,163']
PVTBP,$26.84,1439682136084,[u'2,778']
IPDN,$0.99,1439682136154,[u'43,131']
PFIE,$0.95,1439682136254,[u'371,619']
PGNX,$8.2,1439682136304,[u'561,394']
PRGS,$29.31,1439682136506,[u'68,184']
PRQR,$16.34,1439682136708,[u'13,074']
PRPH,$1.49,1439682136733,[u'15,366']
PFPT,$63.35,1439682136756,[u'168,126']
DNAI,$25.38,1439682136772,[u'130,635']
UBIO,$16.72,1439682136798,[u'116,133']
TQQQ,$116.1,1439682136876,[u'1,539,646']
BIB,$87.5,1439682136931,[u'301,002']
ZBIO,$22.04,1439682136967,[u'8,970']
SQQQ,$22.2,1439682137090,[u'4,056,506']
PRTA,$60.91,1439682137153,[u'156,694']
PSEC,$7.4,1439682137173,[u'1,435,355']
BIS,$28.83,1439682137199,[u'421,693']
PRTO,$13.23,1439682137302,[u'26,882']
PWX,$16,1439682137349,[u'1,112']
PVBC,$12.8,1439682137525,[u'15,668']
PBIP,$14.4,1439682137586,[u'9,044']
PROV,$16.46,1439682137621,[u'5,657']
PSDV,$4.05,1439682137644,[u'29,628']
PSBH,$8.01,1439682137694,[u'2,240']
PMD,$12.5,1439682137765,[u'8,402']
PTCT,$37.25,1439682137845,[u'359,722']
PTC,$35.93,1439682137876,[u'245,550']
PULM,$5.56,1439682137936,[u'9,762']
PULB,$13.38,1439682137963,[u'426']
PCYO,$4.58,1439682138050,[u'12,001']
QADA,$25.25,1439682138062,[u'10,363']
QADB,NULL,1439682138150,[]
QCCO,$1.85,1439682138194,[u'5,281']
QCRH,$21.49,1439682138324,[u'6,981']
QGEN,$27.72,1439682138341,[u'206,795']
QIWI,$28.34,1439682138393,[u'269,647']
QLIK,$41.92,1439682138461,[u'733,022']
QLGC,$9.36,1439682138504,[u'345,551']
QLTI,$3.5,1439682138521,[u'40,890']
QKLS,$1.6401,1439682138532,[u'1,500']
QRVO,$58.24,1439682138608,[u'1,106,520']
QCOM,$61.91,1439682138685,[u'5,456,904']
QLTY,$15.95,1439682138788,[u'334,760']
QSII,$12.9,1439682138823,[u'144,813']
QBAK,$1.06,1439682138834,[u'172']
QTWW,$1.57,1439682138905,[u'55,406']
QLYS,$31.87,1439682138933,[u'344,608']
QRHC,$0.85,1439682138999,[u'81,848']
QPAC,NULL,1439682139199,[]
QDEL,$21.02,1439682139210,[u'66,052']
QNST,$4.99,1439682139239,[u'217,593']
QPACU,NULL,1439682139268,[]
QUIK,$1.46,1439682139288,[u'31,646']
QPACW,$0.35,1439682139306,[u'10,000']
QUMU,$4.35,1439682139348,[u'1,260']
QUNR,$38.4747,1439682139450,[u'390,361']
QTNT,$16.39,1439682139536,[u'2,877']
QTNTW,NULL,1439682139559,[]
RRD,$16.05,1439682139588,[u'1,010,719']
RDCM,$10.5,1439682139638,[u'42,794']
RADA,$1.1,1439682139706,[u'185,020']
ROIA,$2.34,1439682139856,[u'200']
ROIAK,$2.5,1439682139895,[u'22,543']
RDUS,$66.86,1439682139933,[u'624,770']
RDWR,$19.48,1439682139973,[u'77,977']
RSYS,$2.7,1439682140006,[u'53,142']
RMBS,$13.45,1439682140042,[u'200,537']
RDNT,$7.63,1439682140083,[u'107,478']
RAND,$3.92,1439682140139,[u'2,325']
RLOG,$2.62,1439682140233,[u'542']
GOLD,$62.07,1439682140314,[u'226,893']
RPD,$21.96,1439682140346,[u'57,190']
RPTP,$13.24,1439682140434,[u'367,877']
RAVE,$11.57,1439682140454,[u'22,963']
RAVN,$18.52,1439682140495,[u'68,809']
ROLL,$67.47,1439682140562,[u'102,841']
RICK,$11.17,1439682140634,[u'5,755']
RLOC,$2.81,1439682140651,[u'11,186']
RCMT,$4.62,1439682140779,[u'5,296']
RDIB,$15.6,1439682140790,[u'152']
RGSE,$1.39,1439682140891,[u'311,591']
RDI,$13.14,1439682140917,[u'48,777']
RNWK,$4.25,1439682140938,[u'92,389']
RELY,$10.81,1439682140963,[u'175,136']
RP,$19.31,1439682141073,[u'70,661']
RCPT,$231.4,1439682141200,[u'296,360']
UK,NULL,1439682141276,[]
DAX,$26.44,1439682141310,[u'1,834']
RCON,$1.42,1439682141338,[u'2,572']
QYLD,$23.6,1439682141349,[u'6,383']
REPH,$13.74,1439682141372,[u'25,646']
RRGB,$83.74,1439682141601,[u'173,086']
REDF,$1.6888,1439682141637,[u'5,883']
RDHL,$13.8,1439682141658,[u'21,085']
REGN,$577,1439682141682,[u'254,577']
RGLS,$7.3,1439682141711,[u'353,479']
REIS,$24.99,1439682141740,[u'11,389']
RELV,$0.99,1439682141760,[u'73,912']
RLYP,$24.89,1439682141828,[u'485,727']
RNST,$32.32,1439682142078,[u'77,043']
REMY,$29.38,1439682142094,[u'73,815']
MARK,$4.07,1439682142129,[u'5,285']
REGI,$9.7,1439682142168,[u'170,901']
RENT,$50.25,1439682142208,[u'267,551']
RTK,$0.7251,1439682142224,[u'512,704']
RCII,$27.42,1439682142267,[u'257,425']
RGEN,$34.78,1439682142334,[u'128,107']
RPRXW,NULL,1439682142399,[]
RPRXZ,NULL,1439682142497,[]
RPRX,$8.31,1439682142534,[u'122,307']
FRBK,$3.63,1439682142569,[u'28,750']
REFR,$5.4,1439682142616,[u'2,722']
RBCAA,$25.14,1439682142641,[u'11,003']
RJET,$3.85,1439682142657,[u'543,617']
RESN,$4.3,1439682142886,[u'19,626']
REXI,$7.78,1439682142919,[u'927,375']
RECN,$16.77,1439682142973,[u'102,459']
ROIC,$17.1334,1439682143010,[u'295,594']
RVNC,$30.25,1439682143029,[u'130,181']
SALE,$9.36,1439682143080,[u'278,664']
RTRX,$29.58,1439682143097,[u'327,495']
RVLT,$1.12,1439682143132,[u'64,023']
REXX,$3.35,1439682143278,[u'1,895,493']
RFIL,$4.14,1439682143330,[u'4,147']
RIBT,$2.8,1439682143435,[u'19,391']
RWLK,$9.49,1439682143465,[u'23,049']
RIBTW,NULL,1439682143476,[]
RGCO,$20.38,1439682143502,[u'1,314']
RELL,$5.5,1439682143589,[u'182,682']
RIGL,$2.74,1439682143616,[u'252,892']
NAME,$6.98,1439682143717,[u'8,323']
RNET,$27.78,1439682143768,[u'125,265']
RTTR,$3.18,1439682143836,[u'6,860']
RITT,$1.51,1439682143863,[u'128,453']
RITTW,$0.29,1439682143883,[u'8,500']
RIVR,$22.75,1439682143963,[u'428']
RVSB,$4.41,1439682143983,[u'27,426']
RLJE,$0.43,1439682144026,[u'7,991']
RMGN,$0.932,1439682144182,[u'19,150']
ROBO,$24.47,1439682144202,[u'3,015']
RCPI,$0.93,1439682144222,[u'63,999']
FUEL,$6.89,1439682144308,[u'169,813']
RMTI,$12.65,1439682144350,[u'850,825']
RCKY,$18.32,1439682144414,[u'24,139']
RMCF,$12.4,1439682144443,[u'8,661']
RSTI,$25.49,1439682144463,[u'62,655']
ROIQU,NULL,1439682144542,[]
ROIQ,$10.02,1439682144682,[u'160,554']
ROIQW,$0.3552,1439682144701,[u'1,700']
ROSG,$2.61,1439682144745,[u'48,246']
ROKA,$2.58,1439682144770,[u'34,014']
ROVI,$11.79,1439682144827,[u'998,929']
ROST,$53.99,1439682144857,[u'1,867,838']
RBPAA,$2.1,1439682144945,[u'658']
ROYL,$0.7569,1439682145058,[u'19,064']
RPXC,$15.18,1439682145091,[u'93,567']
RRM,$6.76,1439682145149,[u'800']
RTIX,$6.52,1439682145182,[u'122,415']
RGLD,$53.11,1439682145198,[u'222,685']
RUSHA,$25.79,1439682145288,[u'109,524']
RBCN,$1.53,1439682145325,[u'40,199']
RUSHB,$23.04,1439682145398,[u'2,666']
RUTH,$16.72,1439682145483,[u'52,833']
