TFSC,NULL,1439682002766,[]
BLPH,$4.06,1439682023534,[u'30,581']
BNCL,$12.87,1439682023568,[u'173,559']
BNFT,$38.23,1439682023598,[u'290,873']
BNTC,NULL,1439682023618,[]
BGMD,$0.8211,1439682023708,[u'323,491']
BIND,$4.43,1439682023728,[u'24,590']
BGFV,$11.09,1439682023762,[u'44,403']
BGCP,$9.59,1439682023805,[u'448,030']
ORPN,$5.45,1439682023879,[u'13,788']
BASI,$1.79,1439682023903,[u'3,070']
BCDA,NULL,1439682023963,[]
BCRX,$11.68,1439682024049,[u'517,381']
BIOC,$1.85,1439682024061,[u'194,442']
BIOD,$0.7316,1439682024264,[u'685,384']
BDSI,$6.6,1439682024285,[u'832,542']
BIOL,$1.62,1439682024324,[u'13,674']
BLRX,$1.51,1439682024423,[u'57,510']
BLFS,$2.16,1439682024448,[u'266,859']
BIIB,$311,1439682024459,[u'1,139,650']
BMRN,$134.51,1439682024600,[u'440,002']
BVXV,$4.25,1439682024620,[u'2,802']
BVXVW,NULL,1439682024661,[]
BPTH,$1.18,1439682024683,[u'50,108']
BRLI,$35.45,1439682024763,[u'176,022']
BBC,$32.17,1439682024787,[u'13,726']
BIOS,$1.35,1439682024808,[u'2,048,445']
BBP,$33.75,1439682024954,[u'25,634']
BOTA,$2.33,1439682025044,[u'16,624']
BSTC,$51.19,1439682025070,[u'57,413']
BSPM,$0.68,1439682025126,[u'51,823']
TECH,$105.65,1439682025162,[u'57,393']
BITI,$19.31,1439682025197,[u'49,440']
BEAT,$11.62,1439682025223,[u'77,838']
BDMS,$13.2,1439682025248,[u'6']
BJRI,$46.18,1439682025279,[u'155,592']
BLKB,$62.98,1439682025490,[u'108,814']
BDE,$7.43,1439682025510,[u'150,675']
BBRY,$7.6,1439682025531,[u'1,853,462']
BBOX,$15.86,1439682025563,[u'63,754']
HAWK,$43.5,1439682025607,[u'241,541']
BKCC,$9.51,1439682025677,[u'235,395']
ADRA,$28.75,1439682025805,[u'3,946']
ADRD,$23.44,1439682025847,[u'402']
ADRE,$31.45,1439682025894,[u'17,219']
BLMN,$21.66,1439682025938,[u'654,740']
ADRU,$23.2666,1439682025982,[u'934']
BCOR,$13.83,1439682025993,[u'105,205']
BUFF,$26.87,1439682026025,[u'821,531']
BLBD,$12.93,1439682026036,[u'3,084']
BBLU,$0.9223,1439682026197,[u'105,042']
BHBK,$14.5,1439682026261,[u'28,477']
NILE,$34.68,1439682026368,[u'70,839']
BKEP,$6.78,1439682026433,[u'25,111']
BKEPP,$7.89,1439682026478,[u'27']
BLUE,$127.26,1439682026498,[u'483,144']
BPMC,$26.55,1439682026536,[u'75,584']
BOBE,$46.61,1439682026566,[u'55,212']
BNCN,$21.89,1439682026616,[u'88,290']
BOFI,$128.5,1439682026653,[u'140,173']
WIFI,$9.07,1439682026726,[u'209,485']
BOJA,$20.84,1439682026766,[u'349,611']
BOKF,$66.3333,1439682026813,[u'37,770']
BONA,$11.85,1439682026853,[u'57,249']
BAMM,$3.22,1439682026929,[u'9,700']
BNSO,$1.72,1439682026995,[u'81,525']
BPFH,$12.46,1439682027091,[u'160,742']
BPFHP,$25.58,1439682027159,[u'1,527']
EPAY,$26.1,1439682027213,[u'94,035']
