AXGN,$3.78,1439682321474,[u'11,354']
AXTI,$2.21,1439682321489,[u'24,702']
AXPW,$1.19,1439682321508,[u'138,494']
BCOM,$19.49,1439682321598,[u'456']
RILY,$10,1439682321618,[u'2,210']
BOSC,$2.24,1439682321730,[u'4,700']
BEAV,$51.17,1439682321849,[u'283,649']
BIDU,$164.65,1439682321971,[u'2,586,841']
BWINA,$23.35,1439682322040,[u'300']
BCPC,$60.4,1439682322057,[u'113,481']
BLDP,$1.34,1439682322095,[u'164,191']
BANF,$62.967,1439682322105,[u'9,943']
BWINB,$23.34,1439682322153,[u'5,299']
BANFP,NULL,1439682322289,[]
BKMU,$7.35,1439682322316,[u'42,685']
BOCH,$5.8,1439682322365,[u'7,263']
BMRC,$48.09,1439682322408,[u'12,032']
BKSC,$15.97,1439682322456,[u'2,380']
BOTJ,$11.18,1439682322548,[u'1,114']
BFIN,$12.3,1439682322590,[u'13,153']
OZRK,$43.87,1439682322648,[u'189,645']
BANR,$47.94,1439682322818,[u'34,342']
BWFG,$18.28,1439682322836,[u'526']
BZUN,$7.73,1439682322957,[u'69,178']
BHAC,NULL,1439682322974,[]
TAPR,$31.71,1439682322997,[u'1,155']
BHACW,$0.1301,1439682323011,[u'223']
BHACR,NULL,1439682323028,[]
BHACU,NULL,1439682323084,[]
BBSI,$37.64,1439682323186,[u'41,946']
BSET,$31.45,1439682323249,[u'35,614']
BYBK,$5.11,1439682323289,[u'5,086']
BYLK,$12.94,1439682323367,[u'1,864']
BV,$5.38,1439682323384,[u'155,355']
BBCN,$15.55,1439682323507,[u'167,531']
BCBP,$11.71,1439682323604,[u'3,158']
BECN,$36.2544,1439682323638,[u'195,135']
BDCV,$5.03,1439682323662,[u'688']
BBGI,$4.94,1439682323712,[u'544']
BSF,$9.11,1439682323766,[u'13,169']
BEBE,$1.85,1439682323875,[u'90,320']
BBBY,$63.18,1439682323885,[u'1,178,399']
BELFA,$17.18,1439682323902,[u'18']
BLPH,$4.06,1439682324008,[u'30,581']
BELFB,$20.13,1439682324064,[u'31,899']
BLCM,$18.48,1439682324114,[u'194,850']
BNCL,$12.87,1439682324131,[u'173,559']
BGCP,$9.59,1439682324858,[u'448,030']
BGFV,$11.09,1439682324896,[u'44,403']
BGMD,$0.8211,1439682324924,[u'323,491']
BNTC,NULL,1439682324934,[]
ORPN,$5.45,1439682324991,[u'13,788']
BIND,$4.43,1439682325011,[u'24,590']
BNFT,$38.23,1439682325065,[u'290,873']
BIOC,$1.85,1439682325219,[u'194,442']
BCRX,$11.68,1439682325247,[u'517,381']
BASI,$1.79,1439682325260,[u'3,070']
BIOD,$0.7316,1439682325300,[u'685,384']
BCDA,NULL,1439682325385,[]
BDSI,$6.6,1439682325408,[u'832,542']
BIOL,$1.62,1439682325429,[u'13,674']
BIIB,$311,1439682325498,[u'1,139,650']
BLFS,$2.16,1439682325592,[u'266,859']
BLRX,$1.51,1439682325742,[u'57,510']
BMRN,$134.51,1439682325798,[u'440,002']
BVXV,$4.25,1439682325819,[u'2,802']
BPTH,$1.18,1439682325845,[u'50,108']
BVXVW,NULL,1439682325863,[]
BRLI,$35.45,1439682325906,[u'176,022']
BIOS,$1.35,1439682325996,[u'2,048,445']
BBC,$32.17,1439682326050,[u'13,726']
BBP,$33.75,1439682326114,[u'25,634']
BSPM,$0.68,1439682326222,[u'51,823']
BOTA,$2.33,1439682326237,[u'16,624']
BSTC,$51.19,1439682326261,[u'57,413']
BEAT,$11.62,1439682326338,[u'77,838']
TECH,$105.65,1439682326416,[u'57,393']
BITI,$19.31,1439682326507,[u'49,440']
BDMS,$13.2,1439682326525,[u'6']
BBOX,$15.86,1439682326633,[u'63,754']
BDE,$7.43,1439682326779,[u'150,675']
BLKB,$62.98,1439682326838,[u'108,814']
BJRI,$46.18,1439682326874,[u'155,592']
HAWK,$43.5,1439682326886,[u'241,541']
BBRY,$7.6,1439682326906,[u'1,853,462']
ADRA,$28.75,1439682326982,[u'3,946']
ADRD,$23.44,1439682327045,[u'402']
